Market,Code,Company Name,Place of Incorporation of Foreign Companies,Industry,Symbol,Date of Listing,Chairman,General Manager,Spokesman,Title of Spokesman,Fiscal Year_end,Accounting Firm,CPA (Chartered Public Accountant)1,CPA (Chartered Public Accountant)2,Address,Telephone,Fax,Email Address,Web Address,Investor Relations Contact Person,Title of IR Contact Person,Telephone of IR Contact Person,Email Address of IR Contact Person
Listed Company,1213,"OCEANIC BEVERAGES CO.,INC.",－,Food,OCEANIC Bev.,1981/04/10,SU YUN LE,HONG SONG HUI,SU YUN LE,Chairman,DEC 31,NAN TAI UNION&CO.,"TING,TSE-HSIANG","TSAI,YU-CHIN","No. 410, Nandong Rd., 2nd Neighborhood, Nanshi Vil., Pingzhen Dist., Taoyuan C Taipei Hsien,Taiwan,R.O.C.",(02)2982-0061,(02)2984-1154,c5012903@ms23.hinet.net,http://applesidra.com.tw,LIN SONG SHENG,Stock Affair Section,02-29820061#235,c5012903@ms23.hinet.net
Listed Company,1215,"CHAROEN POKPHAND ENTERPRISE(TAIWAN) CO., LTD.",－,Food,CPE,1987/07/27,Wu-Yeh Cheng,Thong Chotirat,"Ming Che, Liu",Special Assistant,DEC 31,Price Waterhouse Coopers,"Liao, Fu-Ming","TSAI,PEI-HUA","17F., No. 87, Songjiang Rd. Taipei City, Taiwan 104",02-25077071,02-25064137,service@cptwn.com.tw,http://www.cptwn.com.tw,"Ming Che, Liu",Special Assistant,02-25077071,service@cptwn.com.tw
Listed Company,1216,UNI-PRESIDENT ENTERPRISES CORP.,－,Food,UNI-PRESIDENT,1987/12/28,"Lo,Chih Hsien",Ching-Feng Kuo,Kuo-Hui Chen,CFO,DEC 31,"PriceWaterhouseCoopers, Taiwan","Tien,Chung Yu","Wu,Chien Chih","No.301, Zhongzheng Rd., Yongkang Dist., Tainan City 71001, Taiwan (R.O.C.)",(06)253-2121,(06)253-2661,jlian@mail.pec.com.tw,https://www.uni-president.com.tw,Corrine Wu,Manager,(02)8786-6888-2536,public@mail.pec.com.tw
Listed Company,1217,AGV PRODUCTS CORP.,－,Food,AGV,1989/10/28,CHEN KWAN-HAN,Kuan-Hao Chen,CHEN KWAN-HAN,Chairman,DEC 31,Crowe (TW) CPAs,HUANG LING-WEN,LEE KUO-MING,"NO.11,Kung Yeh Second Rd.,Min Hsiong Industrial Zone Chiayi Hsien,Taiwan",05-2211521-4,05-2216287,YUEHCHU@mail.agv.com.tw,www.agv.com.tw,TSAI YUEH-CHU,Manager,05-2211521,YUEHCHU@mail.agv.com.tw
Listed Company,1218,"TAISUN ENTERPRISE CO.,LTD.",－,Food,TAISUN,1989/11/11,"Liu, Wei-Long","SHEN,YI-JUN",Li Shu-Hui,Deputy General Manager,DEC 31,EY Taiwan,"Lin, Su-Wen","Yang, Chih-Huei","No.6, Xinggong Rd., Tianzhong Township. Changhua County 520, Taiwan (R.O.C.)",04-8742211,04-8758989,taisunir@taisun.com.tw,www.taisun.com.tw,Li Shu-Hui,Deputy General Manager,02-25064152#9307,taisunir@taisun.com.tw
Listed Company,1219,"FWUSOW INDUSTRY CO.,LTD",－,Food,FWUSOW,1990/12/01,"HUNG , YAU-KUEN",Wen Chiang Chao,HSU PEI-YU,Associate Director,DEC 31,"SOLOMON & CO.,CPAS",CHANG CHUN-FU,WU CHIEN-MENG,"45,Sha-Tyan,Sha-Lu Taichung Taiwan R.O.C",04-26362111,04-26358452,fwusow@fwusow.com.tw,www.fwusow.com.tw,HSU PEI-YU,Associate Director,04-26362111#456,pyhsu@fwusow.com.tw
Listed Company,1220,"TAI ROUN PRODUCTS CO.,LTD.",－,Food,TAIROUN,1991/11/20,"Bay&Lake Investment Co., Ltd.",Ying-Kai Chen,Chung-Ping Chou,Manager,DEC 31,BDO Taiwan Union & Co. Certified Public Accountants,KE JYUN HUEI,CHANG CHUNG CHUNG,"6TH FL. NO. 206. NANKING E. RD., SEC. 2 Taipei,Taiwan,ROC",(02)2506-9521,(02)2507-7020,csr@tairoun.com.tw,http://www.tairoun.com.tw/,Chung-Ping Chou,Manager,02-25069521#231,grantchou@tairoun.com.tw
Listed Company,1225,"FORMOSA OILSEED PROCESSING CO,LTD",－,Food,FOPCO,1993/09/27,"SHIN TAI INDUSTRY CO.,LTD (Representative:Yang, Shu-Hua)","CHANG, CHIH-PIN","Chin, Hui-ju",Vice President of Finance,DEC 31,"SOLOMON & CO., CPAs","Liu, Sung-Yu","Chang,Chun-Fu","3RD FL,150 NANJING EAST RD, SEC.2 TAIPEI TAIWAN R.O.C TAIPEI TAIWAN R.O.C.",25073121,(02)25071312,cherry.lin@fopco.com.tw,WWW.FOPCO.COM.TW,Matt Kuo,Asst Vice President,04-26933621#268,matt.kuo@fopco.com.tw
Listed Company,1227,STANDARD FOODS CORPORATION,－,Food,SFC,1994/04/09,Tsao Ter-Fung,Anson Chiu,Arthur Tsao,Chief Executive Officer,DEC 31,Deloitte & Touche,"Fang,Han-Ni","Chen,Chao-Yu","10F., No. 610, Ruiguang Rd., Neihu Dist. Taipei,Taiwan,R.O.C.",2709-2323,2706-7955,spokesperson1@sfworldwide.com,https://www.sfworldwide.com/,Anita Tseng,Assistant Manager Finance Division,2709-2323 分機10860,Spokesperson2@sfworldwide.com
Listed Company,1229,Lien Hwa Industrial Holdings Corporation,－,Food,LHIHC,1976/07/19,Matthew Feng-Chiang Miau,Roger Lin,Roger Lin,President,DEC 31,KPMG Certified Public Accountants,Swimming Hsu,Prudence Kuo,"10F., No. 209, Sec. 1, Nangang Rd., Nangang Dist., Taipei, Taiwan, R.O.C.",(02)2786-1188,(02)2786-3232,info@lhic.com.tw,https://www.lhicholdings.com/,Tiger Chang,Manager of Finance,02-27861188 # 1622,ir@lhic.com.tw
Listed Company,1231,Lian Hwa Foods Corporation,－,Food,Lian Hwa Foods,1995/11/02,LEE KAI YUAN,FU CHOA MIN,LIN CHIH YUAN,Director,DEC 31,Deloitte Touche Tohmatsu,CHAO YUNG-HSIANG,LIU MING-HSIEN,"148 TI HWA STREET SEC.1, Taipei,Taiwan,R.O.C",(02)25534546,(02)25533479,tomlin@lianhwa.com.tw,www.lianhwa.com.tw,LIN CHIH YUAN,Director,(02)25521666-1580,tomlin@lianhwa.com.tw
Listed Company,1232,TTET UNION CORPORATION,－,Food,TTET,1996/02/09,Chih-Hsien Lo,Chao-Liang Chen,Chao-Liang Chen,President,DEC 31,PRICEWATERHOUSECOOPERS,"HSU ,HUEI -YU","YEH ,FANG -TING","32, Gongye West Road, Erzhen Village, Guantian District, Tainan City, Taiwan TAINAN CITY, TAIWAN",06-698-4500,06-698-5530,finance@mail.ttet.com.tw,https://www.ttet.com.tw,Chen Guan-Chou,Manager,06-6984500#800,sam@mail.ttet.com.tw
Listed Company,1233,"Ten Ren Tea Co., Ltd.",－,Food,Ten Ren,1999/01/20,"Lee, Chien-Te","Chen, Chung-Chih","Wang, Hua-Jung","Assistant Vice President, Tea Shop Dept.",DEC 31,ERNST&YOUNG,"Chen,Chih-Chung","Lee,YuJu","6F. NO.107,SEC 4, Chung Hsiao East Road, Taipei, Taiwan, ROC",02-27765580,02-27403035,chafortea@tenren.com.tw,http://www.tenren.com.tw/,"Hsih, Ai Yun","Vice Manager, Corporate Governance Office",02-27765580,irene@tenren.com.tw
Listed Company,1234,HEY SONG CORPORATION,－,Food,HEY SONG,1999/03/12,Chang Pin-Tang,Chang Chi-Chun,Tu Chu-Tsan,Director of Finance,DEC 31,Member of Deloitte Touche Tohmatsu,Weng Po-Jen,Rich. Chih,"3RD FL. NO. 296, SEC. 4, HSIN YI RD. TAIPEI, TAIWAN, R.O.C.",(02)2706-2191,(02)2755-2119,heysong@heysong.com.tw,www.heysong.com.tw,Tu Chu-Tsan,Director of Finance,27062191#403,16222@heysong.com.tw
Listed Company,1235,"SHIN TAI INDUSTRY CO.,LTD.",－,Food,ST,2000/09/11,"Shin Fong Trading Co., Ltd.(Representative:Wu,Mei-Hong)","Yeh,wen-teng","Yeh,wen-teng",General Manager,DEC 31,"SOLOMON & CO.,CPAs",Sung Yu Liu,Chun Fu Chang,10 KAO-NANG HIGHWAY JEN-WUH KAOHSIUNG TAIWAN R.O.C.,07-3425301-5,07-3425694,shintailtd@gmail.com,www.goldenbrand.com.tw,Yeh Wen Lung,Legal Affair Manager,07-3425301,shintailtd@gmail.com
Listed Company,1236,"HUNYA FOODS CO., LTD.",－,Food,Hunya,2001/09/17,YUNCHI CHANG,YUNCHI CHANG,"Hsu, Shih-Pin",Special assistant President,DEC 31,ERNST&YOUNG,"HSU,JUNG-HUANG","Liu, Henry.JC","20F.-6, No.86, Sec. 1, Beixin Rd., Xindian Dist., New Taipei City 23147",(02)29180786,(02)29180706,hunya.com.tw,https://www.hunya.com.tw,"Hsu, Fu-Kang",Accounting Supervisor,(02)29180786,IR@hunya.com.tw
Listed Company,1256,"Sunjuice Holdings Co., Limited",Cayman Islands,Food,Sunjuice,2016/03/17,"HUANG,KUO-HUANG","WU,MING-HSIEN","WU,MING-HSIEN",President,DEC 31,Deloitte & Touche,"PENG, YI-HUA","CHANG, CHIH-YI","Suite 102, Cannon Place, P.O. Box 712, North Sound Rd. Grand Cayman, KY1-9006",512-57515501,512-57515503,ky@myfreshjuice.com,https://www.myfreshjuice.com/,"WU,MING-HSIEN",President / Spokesman,0972522666,sam.wu@myfreshjuice.com
Listed Company,1301,Formosa Plastics Corporation,－,Plastics,FPC,1964/07/27,Wen-Bee Kuo,Wen-Bee Kuo,Jerry Lin,Senior Vice President,DEC 31,KPMG Certified Public Accountants,"Kuo, Hsin-Yi","Jhang, Jhao-Wun","(A1-11F) No.380, Section 6, Nanjing E. Rd Taipei, Taiwan, R.O.C.",(02)2712-2211,(02)2717-8108,formosa@fpc.com.tw,http://www.fpc.com.tw,Timothy Liu,Senior Manager,(02)2712-2211,formosa@fpc.com.tw
Listed Company,1303,NAN YA PLASTICS CORPORATION,－,Plastics,NPC,1967/11/05,"Wu, Chia Chau","Tzou, Ming Jen","Wu, Chia Chau",Chairman,DEC 31,KPMG Certified Public Accountants,"Kuo, Hsin Yi","Chen, Chun Kuang","7F, No. 380, Sec. 6, Nanjing E. Rd., Neihu Dist., Taipei City(A1) Taipei, Taiwan, R.O.C.",(02)27122211,(02)27178533,nanya@npc.com.tw,http://www.npc.com.tw,"Peng, Fu-Jung",Vice President,(02)27122211,nanya@npc.com.tw
Listed Company,1304,USI CORPORATION,－,Plastics,USI,1972/05/20,Quintin Wu,Pei-Chi Wu,Mark Wu,"Vice President, Sales Department",DEC 31,Deloitte & Touche,"Chen, Chun-Hung","Chang, Cheng-Hsiu","12TH FLOOR, NO. 37 JI-HU ROAD, NEI-HU DISTRICT TAIPEI 114, TAIWAN, R.O.C.",02-87516888,02-26599524,mtwu@usig.com,www.usife.com.tw,Kelly Chou,Group Controller,02-87516888分機3318,kellychou@usig.com
Listed Company,1305,CHINA GENERAL PLASTICS CORPORATION,－,Plastics,CGPC,1973/03/05,Quintin Wu,"HU,CHI-HONG","WU, CHIEN-HSIN",Sales & Marketing Division Director,DEC 31,Deloitte & Touche,"Chang, Cheng-Hsiu","Liu, Yi-Ching","12th Floor , NO.37 , Ji-Hu Rd. Nei-Hu District Taipei, Taiwan, R.O.C.",(02)8751-6888,(02)2659-9516,jhwu@usig.com,https://www.cgpc.com.tw,"WU, CHIEN-HSIN",Sales & Marketing Division Director,(02)2650-3749,jhwu@usig.com
Listed Company,1307,"SAN FANG CHEMICAL INDUSTRY CO.,LTD.",－,Plastics,SAN FANG,1985/11/23,LIN MENG-CHIN,LIN CHIH-YI,"LI, LI-CHUAN",Chief Marketing Officer,DEC 31,Deloitte&Touche,"WANG,Teng-Wei","Liu, Yu-Hsiang","402 FENGJEN RD., JENWU SHIANG,KAOSHIUNG,TAIWAN",(07)3712111,(07)3711940,jui@sanfang.com.tw,http://www.sanfang.com.tw,"LI, LI-CHUAN",Chief Marketing Officer,073712111,leo@sanfang.com.tw
Listed Company,1308,ASIA POLYMER CORPORATION,－,Plastics,APC,1986/06/20,Quintin Wu,"Wu,Pei-Chi","Huang, Ko-Ming",Director of Sales & Marketing Dept.,DEC 31,Deloitte & Touche,"Chiu , Cheng-Chun","Chuang, Pi-Yu","NO.3,INDUSTRIAL 1ST RD., LINYUAN DIST., KAOHSIUNG, TAIWAN, 832 ROC",(02)8751-6888,(02)2659-9553,gltzeng@usig.com,https://www.apc.com.tw/,David Chang,Accounting Manager,(02)2650-3351,david.chang@usig.com
Listed Company,1309,"TAITA CHEMICAL COMPANY, LIMITED",－,Plastics,TTC,1986/06/27,Quintin Wu,"Pei-Chi,Wu","Huang,Chun-Hao",Vice President,DEC 31,Deloitte & Touche,"CHEN,CHUN-HUNG","LIU,YI-CHING","12th Floor, No.37, Ji-Hu Rd., Taipei 114,Taiwan,R.O.C.",(02)8751-6888,(02)2659-9504,chunhao@usig.com,http://www.ttc.com.tw,"Huang,Chun-Hao",Spokesperson,(02)8751-6888#3278,chunhao@usig.com
Listed Company,1310,Taiwan Styrene Monomer Corporation,－,Plastics,T.S.M.C.,1987/08/06,Wen Yuan Lin,T.K. Chung,Joe Lu,Director,DEC 31,KPMG,Jason,Lin Wu,"8F-1, No. 6, Sec. 1, Roosevelt Rd., Taipei City , Taiwan Taipei,Taiwan",02-23966007,23960755,investors@mail.smct.com.tw,http://www.smct.com.tw/,Ming-Nan Chen,Director,02-23966007,investors@mail.smct.com.tw
Listed Company,1312,GRAND PACIFIC PETROCHEMICAL CORPORATION,－,Plastics,GPPC,1988/12/21,Teh Hsin Chiu,Chia Hsiung Tseng,M. Y. Shen,Manager,DEC 31,KPMG Taiwan,"Wu,Cheng-Yen","Lien,Shu-Ling","8F., No. 135, Dunhua N. Rd., Songshan Dist., TAIPEI, TAIWAN R.O.C.",(02)2175-4567,(02)2545-8755,gppc@gppc.com.tw,http://www.gppc.com.tw,M. Y. Shen,Manager,(02)2175-4567,gppc@gppc.com.tw
Listed Company,1313,UPC TECHNOLOGY CORPORATION,－,Plastics,UPC,1989/03/27,Matthew Feng-Chiang Miau,Ann Bih,Yi-Jen Chen,Manager,DEC 31,Deloitte & Touche,"Liu, Chien-Liang","Wang, Yi-Wen","9F., Building A, No. 209 NanGang Rd., Sec. 1, NanGang Dist., Taipei, 115, Taiwan, R.O.C",(02)26517889,(02)26515818,ir@upc.com.tw,http://www.upc.com.tw,Yi-Jen Chen,Manager,(02)26517889-6003,ir@upc.com.tw
Listed Company,1314,CHINA PETROCHEMICAL DEVELOPMENT CORPORATION,－,Plastics,CPDC,1991/07/12,Chen Ruey-Long,Ying-Chun Chen(Acting),Ying-Chun Chen,General Manager(Acting),DEC 31,KPMG CERTIFIED PUBLIC ACCOUNTANTS,Vincent Wu,Dannie Lee,"No. 1, Jingjian Road, Dashe District Kaohsiung, Taiwan, R. O. C.",07-3513521,07-3513642,investors@cpdc.com.tw,www.cpdc.com.tw,Venessa chi,Assistant Manager,02-87878461,investors@cpdc.com.tw
Listed Company,1315,TAH HSIN INDUSTRIAL CORPORATION,－,Plastics,TAH HSIN,1992/05/09,ROBERT.WU,"CHEN,YI-CHIEN",LAI KEN MIN,Deputy General Manager,DEC 31,Crowe (TW) CPAs,Wang Wu Chang,Lin Chih Lung,"NO.51, 35TH RD.,TAICHUNG INDUSTRIAL PARK , TAICHUNG ,TAIWAN, R.O.C",04-23595511,04-23595557,thst@mail.tahhsin.com.tw,www.tahhsin.com.tw,"LAI,KEN-MIN",Deputy General Manager,04-23595511#1151,kmlai@mail.tahhsin.com.tw
Listed Company,1316,"SUN YAD CONSTRUCTION CO.,LTD",－,Building Material and Construction,SUN YAD,1992/10/15,"CHANG,YU-MING","ZENG,PENG-GUANG","KUO,YU-CHENG",ACCOUNTING VICE PRESIDENT,DEC 31,PRICE WATERHOUSE COOPERS,"HSU,CHEN-LUNG","KAO,YU-LUN","20F.-6, No.248, Sec. 2, Yonghua Rd Anping Dist., Tainan City 708, Taiwan",(06)2988318,(06)2988311,sunyad_101@yahoo.com.tw,www.sunyad.com.tw,"KUO,YU-CHENG",ACCOUNTING VICE PRESIDENT,06-2988318,sunyad_101@yahoo.com.tw
Listed Company,1319,"TONG YANG INDUSTRY CO.,LTD",－,Automobile,TYG,1994/12/12,"WU, YEONG-MAW","WU, YUNG-HSIANG",FANCY HSU,Assistant VP,DEC 31,ERNST & YOUNG,"HU, TZU-REN","HUNG, KUO-SEN","98 AN HO ROAD.,SEC,2 TAINAN,TAIWAN,R,O,C",06-3560511,06-3566055,15469@tyg.com.tw,WWW.TYG.COM.TW,Roger Hwang,Project Manager,06-3560511-6170,15531@tyg.com.tw
Listed Company,1321,"Ocean Plastics Co., Ltd",－,Plastics,OPC,1999/01/26,Chen Chin-Ming,Chin-Ming Chen,"CHIU,CHUN-FU",Manager,DEC 31,KPMG Certified Public Accountants,AAA,AAA,"5F,310 CHUKWANG ROAD TAIPEI,TAIWAN,R.O.C",(02)23062131,(02)23027464,mauwau@opc.com.tw,www.opc.com.tw,"CHENG,YU-FENG",Manager,23062131-1611,mauwau@opc.com.tw
Listed Company,1323,"YONYU PLASTICS CO., LTD",－,Plastics,YONYU,2000/09/11,Wei-Cheng Wang,Wei-Cheng Wang,Chin-Tien Kuo,Vice President,DEC 31,PWC TAIWAN,Fang-Ting Yeh,Huei-Yu Hsu,"88 SHENG LI ROAD,RENDE DISTRICT,TAINAN,TAIWAN Tainan ,Taiwan",06-2793711,06-2705088,kct3232@yonyu.com.tw,www.yonyu.com.tw,Chung-Cheng Tsai,Chief Financial Officer,+886-6-2793711#160,cct0368@yonyu.com.tw
Listed Company,1324,GLOBE INDUSTRIES CORPORATION,－,Plastics,GLOBE TAPE,2000/09/11,"Jun Ding Investment Co.,Ltd.(Tony Chang)",David Hwang,Yeachyi Chang,Finance Dept. Manager,DEC 31,Ernst &Young,"HSU,JUNG-HUANG","YANG,HUNG-BIN","7F.NO.61.SECTION 3,NANKING E ROAD TAIPEI TAIWAN R.O.C.",(02)2506-6666,(02)2507-0226,fet@globetape.com.tw,http://www.globetape.com.tw,Yeachyi Chang,Finance Dept. Manager,(02)2506-6666,doris@globetape.com.tw
Listed Company,1325,UNIVERSAL INCORPORATION,－,Plastics,UK,2000/09/11,MEI-HUI HUANG,MEI-HUI HUANG,"Chou, Shou-Lu",senior manager,DEC 31,Deloitte & Touche,"Chu, Szu-Lan","Chen, Chao-Ling","10F, 372, LIN SHEN N. ROAD TAIPEI, TAIWAN, R.O.C.",(02)25119161,(02)25374473,uk4409@ms34.hinet.net,www.uk.com.tw,"Chou, Shou-Lu",senior manager,(02)25119161,slchou@uk.com.tw
Listed Company,1326,FORMOSA CHEMICALS & FIBRE CORPORATION,－,Plastics,FCFC,1984/12/20,Fu-Yuan Hong,Wen-Chin Lu,Fu-Yuan Hong,Chairman,DEC 31,PricewaterhouseCoopers CPA FIRM,Man-Yu Juanlu,"Hsu, Sheng-Chung","10F., No.388, Sec.6, Nanjing E. Rd. Taipei, Taiwan, R.O.C",(02)27122211,(02)27133229,fcfc@fcfc.com.tw,http://www.fcfc.com.tw,Chia-Ju Liu,Senior Manager,(02)27122211-8410,u127129@fcfc.com.tw
Listed Company,1337,Asia Plastic Recycling Holding Limited,Cayman Islands,Plastics,Asia Plastic,2011/08/17,Ding Jin Shan,Ding Jin Kuang,Wang Wei Min,Chairman Special Assistant,DEC 31,Candor Taiwan CPA's,Ken Lin,Diana Shih,"12F.-2, No. 190, Siwei 4th Rd. Lingya Dist.,Kaohsiung City 802 Taiwan",(07)2696099,(07)2696099,weimin831@gmail.com,http://asia-recycle.com,Wang Wei Min,Accounting manager,(07)2696099,weimin831@gmail.com
Listed Company,1338,Hiroca Holdings Ltd.,Cayman Islands,Automobile,Hiroca,2012/12/19,"Yu, Che-Ming","Huang, Chien-Chung","Chiu, Shou-Ray",Financial Senior Manager,DEC 31,KPMG,"CHEN,YI-CHUN","Chiang, Hsiao-Ling","3rd Industrial Zone, Qiaotou, Houjie Town Dongguan City, Guangdong Province, PRC",0769-89278888,0769-85903818,hiroca@hirosawa.com.cn,www.hirosawa.com.cn,"Chiu, Shou-Ray",Financial Senior Manager,0903119680,hiroca@hirosawa.com.cn
Listed Company,1339,"Y.C.C. PARTS MFG. CO., LTD.",－,Automobile,Y.C.C.,2012/04/24,"He Han Investment Co., Ltd.","LIN, RUEI-ZE","LIU, SHU-MEI",Vice General Manager,DEC 31,PricewaterhouseCoopers Taiwan,"WANG, YU-JUAN","LAI, CHIH-WEI","8, Xingye Rd., Lukang Town Chung Hua Hsien, Taiwan ., R.O.C.",(04)7810781,(04)7813209,ycc888@yccco.com.tw,http://www.yccco.com.tw,"LIU, SHU-MEI",Vice General Manager,(04)7810781,ycc888@yccco.com.tw
Listed Company,1340,VICTORY NEW MATERIALS LIMITED COMPANY,Cayman Islands,Plastics,VICTORY,2014/01/14,ZHUANG GUO QING,ZHUANG HUI HUANG,CHEN TUYAN,CFO,DEC 31,Shine Wing,Zoe Chen,Samson Yang,"Qingyang Lianyu Industrial Area Jinjiang, Fujian, China",8659582889862,8659585689208,peter.chen@sportspowersole.com,www.vnm.com.tw,CHEN TUYAN,CFO,8659582889862,peter.chen@sportspowersole.com
Listed Company,1341,"Fulin Plastic Industry (Cayman) Holding Co.,",Cayman Islands,Plastics,FULIN-KY,2018/12/24,WANG YUAN-LIN,WANG YUAN-LIN (Tentative),HSU Nai Jen,Senior Manager,DEC 31,Deloitte & Touche,Wang Teng Wei,Chen Zhen Li,Km9 Pham Van Dong Hai Thanh Ward Duong Kinh District Hai Phong Viet Nam,(07)535-2366,(07)535-2368,acc@fulintw.com.tw,http://www.fulinvn.com,HSU Nai Jen,Senior Manager,075352366,acc@fulintw.com.tw
Listed Company,1342,CATHAY CONSOLIDATED INC.,－,Other,CCI Yilan,2020/11/24,"LIU,TSUNG-HSI","LIU,TSUNG-HSI",Vincent H. Lee,Vice President,DEC 31,Ernst&Young,"Chang,Chih-Ming","HUANG, CHIEN-CHE","No. 6, Dexing 4th Rd., Daxing Vil., Dongshan Township Yilan County 269031, Taiwan (R.O.C.)",03-9109568,03-9903297,investor@cathay1342.com.tw,http://www.cathayconsolidated.com,Vincent H. Lee,Vice President,03-9109568,investor@cathay1342.com.tw
